"Time (EpMin)","Strand Name","Range (km)"
595,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39945
600,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39945
605,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39945
610,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39945
615,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39945
620,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39945
625,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39945
630,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39945
635,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39945
640,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39945
645,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39945
650,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39945
655,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39945
660,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39945
665,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39945
670,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39945
675,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39945
680,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39945
685,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39945
690,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39945
695,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39945
700,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39945
705,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39946
710,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39946
715,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39946
720,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39946
725,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39946
730,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39946
735,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39946
740,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39946
745,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39946
750,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39946
755,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39946
760,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39946
765,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39946
770,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39946
775,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39946
780,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39946
785,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39946
790,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39946
795,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39946
800,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39946
805,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39946
810,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39946
815,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39946
820,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39946
825,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39946
830,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39946
835,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39946
840,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39946
845,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39947
850,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39947
855,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39947
860,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39947
865,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39947
870,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39947
875,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39947
880,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39947
885,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39947
890,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39947
895,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39947
900,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39947
